date,symbol,entry,sl,target,low,high,close,result,pnl
2026-06-11,RELIANCE,2850.0,2821.5,2907.0,2820.58,2908.50,2866.64,TARGET_HIT,+2.00%
2026-06-12,ICICIBANK,1317.0,1303.83,1343.34,1319.10,1344.20,1340.80,TARGET_HIT,+2.00%
