symbol,date,entry,stop_loss,target,risk_pct,reward_pct,rr,atr_pct,volume_surge_pct,price,close_ema9,close_ema21,above_emas,result,exit_price,exit_date,pnl_pct
HINDALCO,2026-05-14,1103.3,1092.27,1125.37,-1.0,2.0,2.0,2.29,126.3,1103.3,1059.83,1051.48,True,SL_HIT,1092.27,2026-05-21,-1.0
HINDALCO,2026-05-15,1067.5,1056.82,1088.85,-1.0,2.0,2.0,2.55,148.6,1067.5,1061.36,1052.81,True,SL_HIT,1056.82,2026-05-22,-1.0
HINDALCO,2026-05-20,1085.5,1074.64,1107.21,-1.0,2.0,2.0,2.53,229.1,1085.5,1063.12,1056.03,True,TARGET_HIT,1107.21,2026-05-27,2.0
HINDALCO,2026-05-25,1099.6,1088.6,1121.59,-1.0,2.0,2.0,2.78,133.7,1099.6,1082.6,1070.48,True,TARGET_HIT,1121.59,2026-06-01,2.0
HINDALCO,2026-05-27,1149.7,1138.2,1172.69,-1.0,2.0,2.0,2.77,123.5,1149.7,1099.44,1081.01,True,SL_HIT,1138.2,2026-06-03,-1.0
HINDALCO,2026-05-29,1126.7,1115.43,1149.23,-1.0,2.0,2.0,2.88,195.0,1126.7,1112.72,1087.25,True,TARGET_HIT,1149.23,2026-06-05,2.0
GRASIM,2026-05-13,2945.6,2916.14,3004.51,-1.0,2.0,2.0,2.09,193.3,2945.6,2909.46,2852.27,True,SL_HIT,2916.14,2026-05-20,-1.0
GRASIM,2026-05-14,2938.7,2909.31,2997.47,-1.0,2.0,2.0,2.13,222.8,2938.7,2915.08,2856.87,True,SL_HIT,2909.31,2026-05-21,-1.0
GRASIM,2026-05-15,2933.8,2904.46,2992.48,-1.0,2.0,2.0,2.06,176.2,2933.8,2918.85,2864.3,True,SL_HIT,2904.46,2026-05-22,-1.0
GRASIM,2026-05-20,2971.1,2941.39,3030.52,-1.0,2.0,2.0,2.07,138.1,2971.1,2935.47,2892.27,True,TARGET_HIT,3030.52,2026-05-27,2.0
GRASIM,2026-05-21,3154.5,3122.96,3217.59,-1.0,2.0,2.0,2.42,332.8,3154.5,2978.89,2910.49,True,TIME_EXIT,3170.0,2026-05-28,0.49
GRASIM,2026-05-29,3122.4,3091.18,3184.85,-1.0,2.0,2.0,2.19,140.7,3122.4,3109.27,3023.74,True,SL_HIT,3091.18,2026-06-05,-1.0
EICHERMOT,2026-05-25,7414.0,7339.86,7562.28,-1.0,2.0,2.0,2.59,254.1,7414.0,7066.32,7094.41,True,SL_HIT,7339.86,2026-06-01,-1.0
DRREDDY,2026-05-15,1336.7,1323.33,1363.43,-1.0,2.0,2.0,2.69,136.5,1336.7,1298.8,1288.87,True,SL_HIT,1323.33,2026-05-22,-1.0
DRREDDY,2026-05-25,1331.4,1318.09,1358.03,-1.0,2.0,2.0,2.47,145.1,1331.4,1317.32,1315.64,True,SL_HIT,1318.09,2026-06-01,-1.0
CIPLA,2026-05-13,1315.26,1302.11,1341.57,-1.0,2.0,2.0,2.33,364.6,1315.26,1308.91,1289.49,True,TARGET_HIT,1341.57,2026-05-20,2.0
CIPLA,2026-05-14,1423.35,1409.11,1451.81,-1.0,2.0,2.0,2.47,377.3,1423.35,1331.83,1302.12,True,SL_HIT,1409.11,2026-05-21,-1.0
SBILIFE,2026-05-19,1881.4,1862.59,1919.03,-1.0,2.0,2.0,1.85,139.7,1881.4,1860.83,1860.12,True,SL_HIT,1862.59,2026-05-26,-1.0
APOLLOHOSP,2026-05-21,8308.5,8225.41,8474.67,-1.0,2.0,2.0,1.95,260.2,8308.5,8074.71,7965.16,True,SL_HIT,8225.41,2026-05-28,-1.0
INDUSINDBK,2026-05-26,932.3,922.98,950.95,-1.0,2.0,2.0,2.35,134.9,932.3,912.48,907.82,True,SL_HIT,922.98,2026-06-02,-1.0
